Type,Time_Steps,Batch_Reward,Reward_Rate,Critic_Loss,Actor_loss,Curiosity_Loss
Train,5120,1544.6793212890625,0.30169517993927003,28.354902,12.963328,0.54241604
Train,10240,1319.5364990234375,0.25772197246551515,18.894989,9.792219,0.50268024
Train,15360,1377.9578857421875,0.269132399559021,23.51148,11.619194,0.5128422
Train,20480,1488.5660400390625,0.2907355546951294,24.367441,11.616181,0.5321459
Train,25600,1370.72412109375,0.26771955490112304,23.350925,11.843108,0.51139826
Train,30720,1465.0166015625,0.2861360549926758,20.517044,10.129333,0.5277632
Train,35840,1407.548828125,0.27491188049316406,25.34046,12.642315,0.5176305
Train,40960,1403.719970703125,0.2741640567779541,17.246948,8.93561,0.51694864
Train,46080,1451.3829345703125,0.28347322940826414,19.015326,9.671512,0.52524537
Train,51200,1470.0908203125,0.28712711334228513,23.405142,11.557418,0.5285105
Train,56320,1472.7802734375,0.28765239715576174,22.093872,10.987485,0.5290699
Train,61440,1349.2166748046875,0.26351888179779054,21.359781,11.121149,0.5075773
Train,66560,1325.7357177734375,0.2589327573776245,17.529783,9.6305065,0.5033183
Train,71680,1224.7906494140625,0.23921692371368408,16.078276,9.357924,0.4856126
Train,76800,1081.826904296875,0.2112943172454834,12.99309,8.413318,0.46035895
Train,81920,1123.9365234375,0.21951885223388673,12.257438,7.970886,0.4676617
Train,87040,1030.00146484375,0.2011721611022949,13.125673,9.034499,0.45117885
Train,92160,906.8787231445312,0.17712475061416627,10.456018,7.9215875,0.42947885
Train,97280,918.6064453125,0.17941532135009766,8.621488,6.8376665,0.43179122
Train,102400,888.7614135742188,0.1735862135887146,6.789862,5.747993,0.42644215
Train,107520,864.4464721679688,0.1688372015953064,8.345752,6.963641,0.42233497
Train,112640,782.3973999023438,0.1528119921684265,7.48667,6.765022,0.40761492
Train,117760,748.8272705078125,0.14625532627105714,5.7016087,5.576514,0.40170383
Train,122880,685.614501953125,0.13390908241271973,4.581859,4.900338,0.3905048
Train,128000,656.8037109375,0.12828197479248046,4.8493896,5.3563466,0.38542423
Train,133120,633.8915405273438,0.12380694150924683,5.231247,5.8764668,0.38126078
Train,138240,583.1151733398438,0.11388968229293824,2.9552658,3.732806,0.37262774
Train,143360,570.2525024414062,0.11137744188308715,3.1618657,4.0424724,0.3703261
Train,148480,529.9921875,0.10351409912109374,3.2723916,4.4079,0.3628964
Train,153600,524.39208984375,0.10242033004760742,3.395921,4.5118833,0.36211297
Train,158720,481.44659423828125,0.0940325379371643,2.3117871,3.3907292,0.35473523
Train,163840,454.9468078613281,0.08885679841041565,2.068341,3.2193112,0.35001668
Train,168960,477.9665832519531,0.09335284829139709,2.5103824,3.7341206,0.3539009
Train,174080,467.27117919921875,0.09126390218734741,2.4275882,3.6863441,0.3519644
Train,179200,416.438232421875,0.08133559226989746,1.679232,2.8999176,0.34317836
Train,184320,402.6171569824219,0.07863616347312927,1.8490458,3.246008,0.34085533
Train,189440,377.5757751464844,0.07374526858329773,1.6586751,3.0880818,0.33634645
Train,194560,381.1820983886719,0.07444962859153748,1.6636413,2.965874,0.33659518
Train,199680,371.78656005859375,0.07261456251144409,1.1713698,2.239855,0.3351871
Train,204800,377.7087097167969,0.07377123236656188,1.6313807,2.9729185,0.33635324
Train,209920,381.71923828125,0.07455453872680665,1.6840185,2.9338827,0.33684134
Train,215040,370.3489990234375,0.07233378887176514,1.395757,2.456622,0.33475357
Train,220160,358.6987609863281,0.07005835175514222,1.4272025,2.4718182,0.33268428
Train,225280,368.4410705566406,0.07196114659309387,1.7913334,3.2206793,0.3342789
Train,230400,380.03765869140625,0.07422610521316528,1.7552147,3.0874097,0.33654377
Train,235520,363.10614013671875,0.07091916799545288,1.435868,2.4164999,0.33366317
Train,240640,340.53375244140625,0.06651049852371216,1.2514515,2.5098717,0.3297592
Train,245760,335.2421875,0.06547698974609376,1.3860066,2.872299,0.3283766
Train,250880,365.4954833984375,0.07138583660125733,1.633117,3.061336,0.3339246
Train,256000,339.9838562011719,0.06640309691429139,1.2821902,2.4397686,0.32945442
Train,261120,317.78741455078125,0.062067854404449466,0.9413361,1.8793126,0.32527128
Train,266240,319.4104309082031,0.06238484978675842,1.0527848,2.1516109,0.3258303
Train,271360,302.6554260253906,0.05911238789558411,0.9623787,2.1009147,0.32287726
Train,276480,311.9882507324219,0.060935205221176146,1.1270571,2.4475644,0.32435527
Train,281600,318.9355773925781,0.062292104959487914,1.2547772,2.5550747,0.3253883
Train,286720,292.5631408691406,0.05714123845100403,0.89250296,2.1206806,0.32085386
Train,291840,328.7394714355469,0.06420692801475525,1.3059019,2.3223991,0.32701346
Train,296960,342.4365539550781,0.0668821394443512,1.6490906,2.9057639,0.32968774
Train,302080,297.18603515625,0.058044147491455075,1.0527434,2.3867116,0.32217827
Train,307200,300.47576904296875,0.058686673641204834,1.0543798,2.2944372,0.3219139
